Algoritmo,NumThreads,Tempo(ns),Tempo(ms)
Bubble Sort Serial,1,164100,0
Counting Sort Serial,1,734000,0
Merge Sort Serial,1,50200,0
Quick Sort Serial,1,24200,0
Bubble Sort Paralelo,1,530000,0
Counting Sort Paralelo,1,2912200,2
Merge Sort Paralelo,1,108500,0
Quick Sort Paralelo,1,94600,0
Bubble Sort Paralelo,2,514200,0
Counting Sort Paralelo,2,3101000,3
Merge Sort Paralelo,2,110100,0
Quick Sort Paralelo,2,340900,0
Bubble Sort Paralelo,4,783700,0
Counting Sort Paralelo,4,3464000,3
Merge Sort Paralelo,4,132800,0
Quick Sort Paralelo,4,667000,0
Bubble Sort Paralelo,8,1182100,1
Counting Sort Paralelo,8,5355700,5
Merge Sort Paralelo,8,75000,0
Quick Sort Paralelo,8,831800,0
Bubble Sort Paralelo,16,1781400,1
Counting Sort Paralelo,16,6477200,6
Merge Sort Paralelo,16,81600,0
Quick Sort Paralelo,16,1470000,1
